strain      Dxx     Dyy     Dzz       Dxy       Dxz       Dyz
3.8326e-05  1.207   1.0743  0.63778  -0.099338  0.097007 -0.011278
3.934e-05   1.2399  1.1217  0.64497  -0.095048  0.10672	 -0.014043
4.1113e-05  1.3077  1.1983  0.65558  -0.10706   0.12349	 -0.017408
4.1113e-05  1.3075  1.1983  0.65558  -0.10679   0.12353	 -0.017317
4.7098e-05  1.4475  1.2998  0.68284  -0.12613   0.1649   -0.019585
5.1325e-05  1.5288  1.3605  0.69517  -0.12845   0.1837   -0.01581
5.4524e-05  1.6442  1.424   0.71341  -0.1344    0.21073	 -0.017195
5.641e-05   1.6742  1.4487  0.71712  -0.13758   0.21662	 -0.016197
5.7543e-05  1.7682  1.4698  0.72898  -0.1392    0.24041	 -0.019015
6.9668e-05  2.0184  1.6197  0.76667  -0.16441   0.30134	 -0.023515
7.899e-05   2.3043  1.7371  0.80633  -0.18446   0.3722   -0.032884
8.7964e-05  2.49    1.8339  0.8367   -0.20139   0.42213	 -0.03425
9.121e-05   2.5705  1.8693  0.85227  -0.20483   0.44775	 -0.036034
9.5544e-05  2.6839  1.9125  0.86878  -0.21579   0.47519	 -0.039009
9.5696e-05  2.6891  1.9463  0.8697   -0.21277   0.47659	 -0.037485
9.8813e-05  2.7287  1.9716  0.87888  -0.21021   0.47882	 -0.036011
0.00010058  2.7929  1.9922  0.89049  -0.22715   0.48755	 -0.048744
0.00010126  2.8068  1.9958  0.89233  -0.22831   0.49075	 -0.048997
0.00010213  2.8293  2.0064  0.89562  -0.23081   0.49713	 -0.048994
0.00010303  2.8471  2.0164  0.89863  -0.23227   0.50157	 -0.049077
0.00010463  2.9066  2.0351  0.90928  -0.24091   0.52009	 -0.050827
0.00010635  2.934   2.1024  0.90958  -0.25923   0.50981	 -0.042187
0.00010791  2.9627  2.1199  0.91391  -0.2615    0.5151   -0.042406
0.00011071  3.02    2.1418  0.92354  -0.26424   0.52924	 -0.042709
0.00011345  3.086   2.165   0.93261  -0.26759   0.5463   -0.043411
0.0001138   3.0368  2.1782  0.93568  -0.24838   0.53339	 -0.033835
0.00011712  3.101   2.2142  0.94521  -0.25507   0.54764	 -0.034332
0.00011712  3.101   2.2142  0.94521  -0.25507   0.54764	 -0.034332
0.00011758  3.11    2.2192  0.94658  -0.25599   0.54969	 -0.034412
0.00011808  3.1197  2.2245  0.94803  -0.25696   0.55188	 -0.034483
0.00011815  3.1209  2.2252  0.94822  -0.25708   0.55217	 -0.034494
0.00012031  3.1607  2.2497  0.95543  -0.25971   0.56124	 -0.034579
0.00012315  3.2166  2.2813  0.96396  -0.26492   0.57426	 -0.034559
0.00012363  3.2275  2.2845  0.96612  -0.26529   0.57762	 -0.034199
0.00012363  3.2275  2.2845  0.96612  -0.26529   0.57762	 -0.034199
0.00012533  3.2615  2.2978  0.9723   -0.26576   0.58592	 -0.034513
0.00012541  3.2628  2.2988  0.97258  -0.26584   0.58606	 -0.03455
0.00012886  3.3493  2.3362  0.98677  -0.27669   0.60946	 -0.035887
0.00013202  3.4925  2.3519  1.013    -0.30033   0.62882	 -0.04953
